Id,Title,Genres,Popularity,Release Date,Original Language,Vote Average,Vote Count,Overview
432139,Vikram Vedha,"['Action', 'Thriller', 'Crime']",8.851,2017-07-21,ta,7.4,150,A notorious gangster Vedha surrenders himself to encounter specialist Vikram whom he challenges every step of the way by narrating his life events in the form of riddles that needs to be solved in order to capture him.
96398,Paan Singh Tomar,"['Crime', 'Drama']",5.295,2012-03-02,hi,7.3,105,Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.
461126,Rangasthalam,"['Action', 'Drama']",3.113,2018-03-29,te,7.1,47,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.
22,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']",124.779,2003-07-09,en,7.788,18914,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her."
78,Blade Runner,"['Science Fiction', 'Drama', 'Thriller']",56.761,1982-06-25,en,7.93,12528,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
218,The Terminator,"['Action', 'Thriller', 'Science Fiction']",66.28,1984-10-26,en,7.642,11620,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?"
76341,Mad Max: Fury Road,"['Action', 'Adventure', 'Science Fiction']",71.81,2015-05-13,en,7.576,20654,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order."
359724,Ford v Ferrari,"['Drama', 'Action', 'History']",35.776,2019-11-13,en,8.01,6740,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966."
263115,Logan,"['Action', 'Drama', 'Science Fiction']",63.325,2017-02-28,en,7.815,17879,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces."
880440,Rush(I),[],0.6,,en,0.0,0,An experimental documentary based on shifting sexuality through teenage years. (Description from GAZE 2021 programme)
